filename,artist,title,songLength,upload_status,upload_time,box_file_id,lrc_box_file_id
Cheap Trick - Can't Stop Falling Into Love.m4a,Cheap Trick,Can't Stop Falling Into Love,229.59,uploaded,2024-11-12 10:28:12,1698310454141,1698308086896
Cherry Poppin' Daddies - Zoot Suit Riot.m4a,Cherry Poppin' Daddies,Zoot Suit Riot,233.04,uploaded,2024-11-12 10:28:22,1698300505887,1698313189446
Chris Cornell - Can't Change Me.m4a,Chris Cornell,Can't Change Me,202.93,uploaded,2024-11-12 10:28:34,1698299413662,1698306579783
Chris Cornell - Sunshower.m4a,"Chris Cornell, Soundgarden & Temple of the Dog",Sunshower,354.12,uploaded,2024-11-12 10:28:45,1698344080594,1700834077595
Cinderella - Shelter Me.m4a,Cinderella,Shelter Me,287.83,uploaded,2024-11-12 10:28:53,1698306210865,1698305370646
Citizen King - Better Days (And the Bottom Drops Out).m4a,Citizen King,Better Days (And the Bottom Drops Out),207.03,uploaded,2024-11-12 10:29:05,1698338901417,1698300856287
"Class of '99 - Another Brick In the Wall, Pt. 2.m4a",Various Artists,"Another Brick In the Wall, Pt. 2",258.27,uploaded,2024-11-12 10:29:17,1698307168470,1700820875269
Collective Soul - Breathe.m4a,Collective Soul,Breathe,185.11,uploaded,2024-11-12 10:29:23,1698300412548,1698315215118
Collective Soul - December.m4a,Collective Soul,December,285.0,uploaded,2024-11-12 10:29:33,1698300508191,1698345138725
Collective Soul - Gel.m4a,Collective Soul,Gel,178.36,uploaded,2024-11-12 10:29:42,1698306802815,1698339457246
Collective Soul - Heavy.m4a,Collective Soul,Heavy,174.91,uploaded,2024-11-12 10:29:52,1698302034245,1698301990894
Collective Soul - Listen.m4a,Collective Soul,Listen,252.27,uploaded,2024-11-12 10:30:03,1698340427258,1698340465658
Collective Soul - No More No Less.m4a,Collective Soul,No More No Less,318.43,uploaded,2024-11-12 10:30:14,1698301868818,pending
Collective Soul - Precious Declaration.m4a,Collective Soul,Precious Declaration,221.19,uploaded,2024-11-12 10:30:22,1698342618528,1698308859848
Collective Soul - Shine.m4a,Collective Soul,Shine,306.04,uploaded,2024-11-12 10:30:33,1698329307842,1698301492400
Collective Soul - The World I Know (LP Version).m4a,Collective Soul,The World I Know (LP Version),255.47,uploaded,2024-11-12 10:30:44,1698298479752,1698304422414
Collective Soul - Where The River Flows.m4a,Collective Soul,Where The River Flows,215.87,uploaded,2024-11-12 10:30:54,1698330601680,1698308862879
Cornershop - Brimful of Asha (Norman Cook Remix).m4a,Fatboy Slim,Brimful of Asha (Norman Cook Remix),240.93,uploaded,2024-11-12 10:31:04,1698346074352,1700819757257
Counting Crows - A Long December.m4a,Counting Crows,A Long December,295.17,uploaded,2024-11-12 10:31:15,1698308754630,1698308298791
Counting Crows - Angels of the Silences.m4a,Counting Crows,Angels of the Silences,217.43,uploaded,2024-11-12 10:31:26,1698296773568,1698345889346
Counting Crows - Einstein on the Beach (For an Eggman).m4a,Counting Crows,Einstein on the Beach (For an Eggman),232.35,uploaded,2024-11-12 10:31:39,1698340624326,1698300306903
Counting Crows - Hanginaround.m4a,Counting Crows,Hanginaround,247.8,uploaded,2024-11-12 10:31:51,1698346619987,1698330189181
Counting Crows - Mr. Jones.m4a,Counting Crows,Mr. Jones,272.28,uploaded,2024-11-12 10:32:05,1698346648382,1698306498075
Counting Crows - Round Here.m4a,Counting Crows,Round Here,331.21,uploaded,2024-11-12 10:32:19,1698343786882,1698346818782
Cowboy Junkies - Sweet Jane.m4a,Cowboy Junkies,Sweet Jane,214.97,uploaded,2024-11-12 10:32:28,1698346614725,1698329207028
Cracker - Get Off This.m4a,Cracker,Get Off This,266.0,uploaded,2024-11-12 10:32:39,1698343436767,1698306537502
Cracker - Low.m4a,Cracker,Low,276.13,uploaded,2024-11-12 10:32:51,1698321275764,1698341404598
Crash Test Dummies - Mmm Mmm Mmm Mmm.m4a,Crash Test Dummies,Mmm Mmm Mmm Mmm,235.17,uploaded,2024-11-12 10:33:05,1698309282791,1698309755430
Creed - Higher.m4a,Creed,Higher,316.73,uploaded,2024-11-12 10:33:17,1698313083938,1698308666233
Creed - My Own Prison.m4a,Creed,My Own Prison,298.8,uploaded,2024-11-12 10:33:27,1698313038509,1698340736594
Creed - One Last Breath.m4a,Creed,One Last Breath,238.24,uploaded,2024-11-12 10:33:37,1698307486804,1698347622358
Creed - What's This Life For.m4a,Creed,What's This Life For,248.23,uploaded,2024-11-12 10:33:47,1698310938517,1698318063663
Cry of Love - Bad Thing.m4a,Cry of Love,Bad Thing,187.24,uploaded,2024-11-12 10:33:58,1698322627055,1698341718617
Cry of Love - Peace Pipe.m4a,Cry of Love,Peace Pipe,237.96,uploaded,2024-11-12 10:34:11,1698304813870,1698308315506
Dada - Dizz Knee Land.m4a,Dada,Dizz Knee Land,246.53,uploaded,2024-11-12 10:34:21,1698303849087,1698342769979
Damn Yankees - Come Again.m4a,Damn Yankees,Come Again,339.56,uploaded,2024-11-12 10:34:33,1698329797575,1698342776659
Damn Yankees - Coming of Age.m4a,Damn Yankees,Coming of Age,259.84,uploaded,2024-11-12 10:34:45,1698330728588,1698342006202
Damn Yankees - Don't Tread On Me.m4a,Damn Yankees,Don't Tread On Me,305.67,uploaded,2024-11-12 10:34:59,1698302083119,pending
Damn Yankees - High Enough.m4a,Damn Yankees,High Enough,284.57,uploaded,2024-11-12 10:35:08,1698342981553,1698343242288
Damn Yankees - Mister Please.m4a,Damn Yankees,Mister Please,259.23,uploaded,2024-11-12 10:35:20,1698329939052,pending
Damn Yankees - Runaway.m4a,Damn Yankees,Runaway,242.67,uploaded,2024-11-12 10:35:29,1698333222050,1698330616724
Damn Yankees - Where You Goin' Now.m4a,Damn Yankees,Where You Goin' Now,279.85,uploaded,2024-11-12 10:35:42,1698298657723,1698313993478
Dan Baird - I Love You Period.m4a,Dan Baird,I Love You Period,264.0,uploaded,2024-11-12 10:35:55,1698337715112,pending
Dave Matthews Band - Ants Marching.m4a,Dave Matthews Band,Ants Marching,271.19,uploaded,2024-11-12 10:36:05,1698308437827,1698330337251
Dave Matthews Band - Crash Into Me.m4a,Dave Matthews Band,Crash Into Me,316.47,uploaded,2024-11-12 10:36:19,1698313881023,1698309548554
Dave Matthews Band - Crush.m4a,Dave Matthews Band,Crush,489.33,uploaded,2024-11-12 10:36:35,1698349443624,1698343048196
Dave Matthews Band - Don't Drink the Water.m4a,Dave Matthews Band,Don't Drink the Water,421.44,uploaded,2024-11-12 10:36:50,1698334318877,1698344742421
Dave Matthews Band - So Much to Say.m4a,Dave Matthews Band,So Much to Say,246.6,uploaded,2024-11-12 10:37:03,1698343309495,1698312426213
Dave Matthews Band - Stay (Wasting Time).m4a,Dave Matthews Band,Stay (Wasting Time),335.23,uploaded,2024-11-12 10:37:18,1698300371381,1698301816521
Dave Matthews Band - Too Much.m4a,Dave Matthews Band,Too Much,261.63,uploaded,2024-11-12 10:37:32,1698344632226,1698328319539
Dave Matthews Band - Tripping Billies.m4a,Dave Matthews Band,Tripping Billies,300.44,uploaded,2024-11-12 10:37:47,1698305781225,1698349134629
Dave Matthews Band - What Would You Say.m4a,Dave Matthews Band,What Would You Say,222.33,uploaded,2024-11-12 10:38:00,1698347145397,1698348774749
David Bowie - I'm Afraid of Americans.m4a,David Bowie,I'm Afraid of Americans,300.16,uploaded,2024-11-12 10:38:14,1698349660177,1698313201645
David Byrne - She's Mad.m4a,David Byrne,She's Mad,320.27,uploaded,2024-11-12 10:38:31,1698312198644,1698345587547
David Lee Roth - A Lil' Ain't Enough.m4a,David Lee Roth,A Lil' Ain't Enough,281.67,uploaded,2024-11-12 10:38:44,1698336426115,1698339215112
David Lee Roth - Sensible Shoes.m4a,David Lee Roth,Sensible Shoes,309.07,uploaded,2024-11-12 10:38:58,1698345763194,pending
