567,Leave It Alone,Living Colour,4,1993
568,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,5,1993
569,Yer So Bad,Tom Petty,5,1990
570,The Unforgiven,Metallica,4,1991
571,Don't Tread On Me,Damn Yankees,3,1992
572,Gallows Pole Live,Jimmy Page Robert Plant,3,1994
573,Not An Addict,K's Choice,9,1997
574,D' You Know What I Mean?,Oasis,6,1997
575,Forever,Kiss,3,1990
576,Nobody's Hero,Rush,4,1994
577,Living In A Dream,Arc Angels,6,1992
578,She's Got Issues,The Offspring,9,1999
579,Star 69,R.E.M.,4,1995
580,Life Is A Highway,Tom Cochrane,6,1992
581,Cats In The Cradle,Ugly Kid Joe,3,1993
582,Lazy Eye,Goo Goo Dolls,8,1997
583,Living Dead Girl,Rob Zombie,4,1999
584,No One To Run With,The Allman Brothers Band,5,1994
585,Start The Car,Jude Cole,7,1992
586,Hard As A Rock,AC/DC,4,1995
587,A Lil' Ain't Enough,David Lee Roth,2,1991
588,Over Your Shoulder,Seven Mary Three,7,1998
589,Runaway Train,Elton John With Eric Clapton,4,1992
590,Hard Act To Follow,Brother Cane,6,1994
591,Keep Away,Godsmack,11,1999
592,Wherever I May Roam,Metallica,7,1992
593,Girlfriend,Matthew Sweet,5,1992
594,Mudshovel,Staind,11,1999
595,The Hunter Live,Paul Rodgers,7,1993
596,The Perfect Drug,Nine Inch Nails,6,1997
597,Come Original,311,5,1999
598,Call It What You Want,Tesla,4,1991
599,Cherub Rock,The Smashing Pumpkins,7,1993
600,Run-Around,Blues Traveler,10,1995
601,Changes Live,Ozzy Osbourne,4,1993
602,Bulls On Parade,Rage Against The Machine,6,1996
603,Got Me Wrong,Alice In Chains,10,1995
604,Popular,Nada Surf,6,1996
605,Losing A Whole Year,Third Eye Blind,5,1998
606,Disappear,INXS,5,1990
607,All The Kids Are Right,Local H,6,1998
608,Stars,Hum,7,1995
609,Mister Please,Damn Yankees,5,1993
610,King Of Dreams,Deep Purple,4,1990
611,Teen Angst (What The World Needs Now),Cracker,6,1992
612,Breaking The Girl,Red Hot Chili Peppers,7,1992
613,Sober,Tool,6,1993
614,Pincushion,ZZ Top,4,1994
615,Today,The Smashing Pumpkins,12,1994
616,Crash Into Me,Dave Matthews Band,9,1997
617,Headlong,Queen,4,1991
618,That Don't Satisfy Me,Brother Cane,5,1993
619,Redundant,Green Day,9,1998
620,Shock To The System,Billy Idol,4,1993
621,Do Right,Jimmie's Chicken Shack,7,1999
622,Yesterdays,Guns N' Roses,5,1992
623,Nearly Lost You,Screaming Trees,7,1992
624,A Face In The Crowd,Tom Petty,5,1990
625,Baby Come On Home,Led Zeppelin,5,1993
